geo_lvl_uuid,name,fips,state,state_fips,county,county_fips,lookup,fips_uuid
1,National,0,,0,,0,National,fips-00-00
2,Alabama,1,Alabama,1,,0,Alabama,fips-01-00
3,Autauga,1,Alabama,1,Autauga,1,AlabamaAutauga,fips-01-001
3,Baldwin,3,Alabama,1,Baldwin,3,AlabamaBaldwin,fips-01-003
3,Barbour,5,Alabama,1,Barbour,5,AlabamaBarbour,fips-01-005
3,Bibb,7,Alabama,1,Bibb,7,AlabamaBibb,fips-01-007
3,Blount,9,Alabama,1,Blount,9,AlabamaBlount,fips-01-009
3,Bullock,11,Alabama,1,Bullock,11,AlabamaBullock,fips-01-011
3,Butler,13,Alabama,1,Butler,13,AlabamaButler,fips-01-013
3,Calhoun,15,Alabama,1,Calhoun,15,AlabamaCalhoun,fips-01-015
3,Chambers,17,Alabama,1,Chambers,17,AlabamaChambers,fips-01-017
3,Cherokee,19,Alabama,1,Cherokee,19,AlabamaCherokee,fips-01-019
3,Chilton,21,Alabama,1,Chilton,21,AlabamaChilton,fips-01-021
3,Choctaw,23,Alabama,1,Choctaw,23,AlabamaChoctaw,fips-01-023
3,Clarke,25,Alabama,1,Clarke,25,AlabamaClarke,fips-01-025
3,Clay,27,Alabama,1,Clay,27,AlabamaClay,fips-01-027
3,Cleburne,29,Alabama,1,Cleburne,29,AlabamaCleburne,fips-01-029
3,Coffee,31,Alabama,1,Coffee,31,AlabamaCoffee,fips-01-031
3,Colbert,33,Alabama,1,Colbert,33,AlabamaColbert,fips-01-033
3,Conecuh,35,Alabama,1,Conecuh,35,AlabamaConecuh,fips-01-035
3,Coosa,37,Alabama,1,Coosa,37,AlabamaCoosa,fips-01-037
3,Covington,39,Alabama,1,Covington,39,AlabamaCovington,fips-01-039
3,Crenshaw,41,Alabama,1,Crenshaw,41,AlabamaCrenshaw,fips-01-041
3,Cullman,43,Alabama,1,Cullman,43,AlabamaCullman,fips-01-043
3,Dale,45,Alabama,1,Dale,45,AlabamaDale,fips-01-045
3,Dallas,47,Alabama,1,Dallas,47,AlabamaDallas,fips-01-047
3,De Kalb,49,Alabama,1,De Kalb,49,AlabamaDe Kalb,fips-01-049
3,Elmore,51,Alabama,1,Elmore,51,AlabamaElmore,fips-01-051
3,Escambia,53,Alabama,1,Escambia,53,AlabamaEscambia,fips-01-053
3,Etowah,55,Alabama,1,Etowah,55,AlabamaEtowah,fips-01-055
3,Fayette,57,Alabama,1,Fayette,57,AlabamaFayette,fips-01-057
3,Franklin,59,Alabama,1,Franklin,59,AlabamaFranklin,fips-01-059
3,Geneva,61,Alabama,1,Geneva,61,AlabamaGeneva,fips-01-061
3,Greene,63,Alabama,1,Greene,63,AlabamaGreene,fips-01-063
3,Hale,65,Alabama,1,Hale,65,AlabamaHale,fips-01-065
3,Henry,67,Alabama,1,Henry,67,AlabamaHenry,fips-01-067
3,Houston,69,Alabama,1,Houston,69,AlabamaHouston,fips-01-069
3,Jackson,71,Alabama,1,Jackson,71,AlabamaJackson,fips-01-071
3,Jefferson,73,Alabama,1,Jefferson,73,AlabamaJefferson,fips-01-073
3,Lamar,75,Alabama,1,Lamar,75,AlabamaLamar,fips-01-075
3,Lauderdale,77,Alabama,1,Lauderdale,77,AlabamaLauderdale,fips-01-077
3,Lawrence,79,Alabama,1,Lawrence,79,AlabamaLawrence,fips-01-079
3,Lee,81,Alabama,1,Lee,81,AlabamaLee,fips-01-081
3,Limestone,83,Alabama,1,Limestone,83,AlabamaLimestone,fips-01-083
3,Lowndes,85,Alabama,1,Lowndes,85,AlabamaLowndes,fips-01-085
3,Macon,87,Alabama,1,Macon,87,AlabamaMacon,fips-01-087
3,Madison,89,Alabama,1,Madison,89,AlabamaMadison,fips-01-089
3,Marengo,91,Alabama,1,Marengo,91,AlabamaMarengo,fips-01-091
3,Marion,93,Alabama,1,Marion,93,AlabamaMarion,fips-01-093
3,Marshall,95,Alabama,1,Marshall,95,AlabamaMarshall,fips-01-095
3,Mobile,97,Alabama,1,Mobile,97,AlabamaMobile,fips-01-097
3,Monroe,99,Alabama,1,Monroe,99,AlabamaMonroe,fips-01-099
3,Montgomery,101,Alabama,1,Montgomery,101,AlabamaMontgomery,fips-01-101
3,Morgan,103,Alabama,1,Morgan,103,AlabamaMorgan,fips-01-103
3,Perry,105,Alabama,1,Perry,105,AlabamaPerry,fips-01-105
3,Pickens,107,Alabama,1,Pickens,107,AlabamaPickens,fips-01-107
3,Pike,109,Alabama,1,Pike,109,AlabamaPike,fips-01-109
3,Randolph,111,Alabama,1,Randolph,111,AlabamaRandolph,fips-01-111
3,Russell,113,Alabama,1,Russell,113,AlabamaRussell,fips-01-113
3,St. Clair,115,Alabama,1,St. Clair,115,AlabamaSt. Clair,fips-01-115
3,Shelby,117,Alabama,1,Shelby,117,AlabamaShelby,fips-01-117
3,Sumter,119,Alabama,1,Sumter,119,AlabamaSumter,fips-01-119
3,Talladega,121,Alabama,1,Talladega,121,AlabamaTalladega,fips-01-121
3,Tallapoosa,123,Alabama,1,Tallapoosa,123,AlabamaTallapoosa,fips-01-123
3,Tuscaloosa,125,Alabama,1,Tuscaloosa,125,AlabamaTuscaloosa,fips-01-125
3,Walker,127,Alabama,1,Walker,127,AlabamaWalker,fips-01-127
3,Washington,129,Alabama,1,Washington,129,AlabamaWashington,fips-01-129
3,Wilcox,131,Alabama,1,Wilcox,131,AlabamaWilcox,fips-01-131
3,Winston,133,Alabama,1,Winston,133,AlabamaWinston,fips-01-133
2,Alaska,2,Alaska,2,,0,Alaska,fips-02-00
3,Aleutians East,13,Alaska,2,Aleutians East,13,AlaskaAleutians East,fips-02-013
3,Aleutians West,16,Alaska,2,Aleutians West,16,AlaskaAleutians West,fips-02-016
3,Anchorage,20,Alaska,2,Anchorage,20,AlaskaAnchorage,fips-02-020
3,Bethel,50,Alaska,2,Bethel,50,AlaskaBethel,fips-02-050
3,Bristol Bay,60,Alaska,2,Bristol Bay,60,AlaskaBristol Bay,fips-02-060
3,Denali,68,Alaska,2,Denali,68,AlaskaDenali,fips-02-068
3,Dillingham,70,Alaska,2,Dillingham,70,AlaskaDillingham,fips-02-070
