State Name,Date,Year,Month,Number of Deaths,Percent with drugs specified,Number of Drug Overdose Deaths
Alabama,1/1/2015,2015,January,49543,48,715
Alabama,2/1/2015,2015,February,50004,48,723
Alabama,3/1/2015,2015,March,50486,49,733
Alabama,4/1/2015,2015,April,50565,49,738
Alabama,5/1/2015,2015,May,50516,49,755
Alabama,6/1/2015,2015,June,50658,47,756
Alabama,7/1/2015,2015,July,50841,48,743
Alabama,8/1/2015,2015,August,50930,47,736
Alabama,9/1/2015,2015,September,51044,49,744
Alabama,10/1/2015,2015,October,51091,49,730
Alabama,11/1/2015,2015,November,51093,49,725
Alabama,12/1/2015,2015,December,50870,50,720
Alabama,1/1/2016,2016,January,50534,49,706
Alabama,2/1/2016,2016,February,50555,48,710
Alabama,3/1/2016,2016,March,50348,47,681
Alabama,4/1/2016,2016,April,50391,47,676
Alabama,5/1/2016,2016,May,50511,48,654
Alabama,6/1/2016,2016,June,50613,53,674
Alabama,7/1/2016,2016,July,50683,53,681
Alabama,8/1/2016,2016,August,50756,56,685
Alabama,9/1/2016,2016,September,50810,55,695
Alabama,10/1/2016,2016,October,50869,55,704
Alabama,11/1/2016,2016,November,51110,57,718
Alabama,12/1/2016,2016,December,51431,57,740
Alabama,1/1/2017,2017,January,51652,59,763
Alabama,2/1/2017,2017,February,51542,59,759
Alabama,3/1/2017,2017,March,51668,61,794
Alabama,4/1/2017,2017,April,51794,62,795
Alabama,5/1/2017,2017,May,51943,63,812
Alabama,6/1/2017,2017,June,52000,63,804
Alabama,7/1/2017,2017,July,52035,64,809
Alabama,8/1/2017,2017,August,52075,64,808
Alabama,9/1/2017,2017,September,52232,66,800
Alabama,10/1/2017,2017,October,52267,67,801
Alabama,11/1/2017,2017,November,52254,68,799
Alabama,12/1/2017,2017,December,52307,69,807
Alabama,1/1/2018,2018,January,53108,70,785
Alabama,2/1/2018,2018,February,53281,71,799
Alabama,3/1/2018,2018,March,53230,71,785
Alabama,4/1/2018,2018,April,53252,73,785
Alabama,5/1/2018,2018,May,53290,72,787
Alabama,6/1/2018,2018,June,53375,73,764
Alabama,7/1/2018,2018,July,53478,74,759
Alabama,8/1/2018,2018,August,53500,75,745
Alabama,9/1/2018,2018,September,53384,74,754
Alabama,10/1/2018,2018,October,53406,74,751
Alabama,11/1/2018,2018,November,53381,75,744
Alabama,12/1/2018,2018,December,53296,75,740
Alabama,1/1/2019,2019,January,52534,74,724
Alabama,2/1/2019,2019,February,52432,75,703
Alabama,3/1/2019,2019,March,52531,76,701
Alabama,4/1/2019,2019,April,52576,77,699
Alabama,5/1/2019,2019,May,52698,77,699
Alabama,6/1/2019,2019,June,52785,76,720
Alabama,7/1/2019,2019,July,52899,77,715
Alabama,8/1/2019,2019,August,53025,79,731
Alabama,9/1/2019,2019,September,53061,79,719
Alabama,10/1/2019,2019,October,53072,79,743
Alabama,11/1/2019,2019,November,53207,80,750
Alabama,12/1/2019,2019,December,53210,81,739
Alabama,1/1/2020,2020,January,53128,81,754
Alabama,2/1/2020,2020,February,53422,82,772
Alabama,3/1/2020,2020,March,53503,83,791
Alabama,4/1/2020,2020,April,54004,83,826
Alabama,5/1/2020,2020,May,54639,84,879
Alabama,6/1/2020,2020,June,55299,85,902
Alabama,7/1/2020,2020,July,56638,84,919
Alabama,8/1/2020,2020,August,58088,84,934
Alabama,9/1/2020,2020,September,59072,84,952
Alabama,10/1/2020,2020,October,59979,84,946
Alabama,11/1/2020,2020,November,61080,84,960
Alabama,12/1/2020,2020,December,63362,85,989
Alabama,1/1/2021,2021,January,66454,85,1032
Alabama,2/1/2021,2021,February,67381,85,1047
Alabama,3/1/2021,2021,March,67701,86,1091
Alabama,4/1/2021,2021,April,67796,87,1124
Alabama,5/1/2021,2021,May,67598,87,1123
Alabama,6/1/2021,2021,June,67394,88,1138
Alabama,7/1/2021,2021,July,66595,88,1165
Alabama,8/1/2021,2021,August,67485,89,1193
Alabama,9/1/2021,2021,September,69141,89,1247
Alabama,10/1/2021,2021,October,69542,89,1295
Alabama,11/1/2021,2021,November,69025,89,1308
Alabama,12/1/2021,2021,December,67323,89,1333
Alabama,1/1/2022,2022,January,66197,89,1331
Alabama,2/1/2022,2022,February,66607,90,1369
Alabama,3/1/2022,2022,March,66541,90,1352
Alabama,4/1/2022,2022,April,66123,90,1345
Alabama,5/1/2022,2022,May,65826,91,1356
