FIPS,Year,State,ST,FIPS State,County,Population,Est. Age-Adj death rate (in ranges)
2290,2007,Alaska,AK,2,"Yukon-Koyukuk Census Area, AK",5712.0,8.1-10
2016,2009,Alaska,AK,2,"Aleutians West Census Area, AK",5537.0,10.1-12
2170,2004,Alaska,AK,2,"Matanuska-Susitna Borough, AK",70761.0,10.1-12
2180,2003,Alaska,AK,2,"Nome Census Area, AK",9210.0,4.1-6
2016,2000,Alaska,AK,2,"Aleutians West Census Area, AK",5470.0,2.1-4
2232,2010,Alaska,AK,2,"Skagway-Hoonah-Angoon Census Area, AK",2147.0,4.1-6
2100,2011,Alaska,AK,2,"Haines Borough, AK",2569.0,12.1-14
2240,2015,Alaska,AK,2,"Southeast Fairbanks Census Area, AK",6839.0,12.1-14
2270,2012,Alaska,AK,2,"Wade Hampton Census Area, AK",7790.0,6.1-8
2270,2000,Alaska,AK,2,"Wade Hampton Census Area, AK",7033.0,0-2
2261,2015,Alaska,AK,2,"Valdez-Cordova Census Area, AK",9362.0,16.1-18
2016,2007,Alaska,AK,2,"Aleutians West Census Area, AK",5466.0,8.1-10
2290,2014,Alaska,AK,2,"Yukon-Koyukuk Census Area, AK",5563.0,18.1-20
2060,2005,Alaska,AK,2,"Bristol Bay Borough, AK",1171.0,4.1-6
2164,2015,Alaska,AK,2,"Lake and Peninsula Borough, AK",1563.0,6.1-8
2188,2005,Alaska,AK,2,"Northwest Arctic Borough, AK",7416.0,0-2
2220,2001,Alaska,AK,2,"Sitka Borough, AK",8727.0,4.1-6
2122,2003,Alaska,AK,2,"Kenai Peninsula Borough, AK",50963.0,10.1-12
2201,2012,Alaska,AK,2,"Prince of Wales-Outer Ketchikan Census Area, AK",6383.0,10.1-12
2280,2011,Alaska,AK,2,"Wrangell-Petersburg Census Area, AK",3244.0,18.1-20
2150,2012,Alaska,AK,2,"Kodiak Island Borough, AK",14067.0,14.1-16
2240,2001,Alaska,AK,2,"Southeast Fairbanks Census Area, AK",5705.0,0-2
2185,2009,Alaska,AK,2,"North Slope Borough, AK",9105.0,4.1-6
2282,2001,Alaska,AK,2,"Yakutat Borough, AK",764.0,0-2
2090,1999,Alaska,AK,2,"Fairbanks North Star Borough, AK",83392.0,4.1-6
2016,2015,Alaska,AK,2,"Aleutians West Census Area, AK",5702.0,18.1-20
2164,2009,Alaska,AK,2,"Lake and Peninsula Borough, AK",1612.0,2.1-4
2150,2004,Alaska,AK,2,"Kodiak Island Borough, AK",13206.0,6.1-8
2290,2004,Alaska,AK,2,"Yukon-Koyukuk Census Area, AK",6218.0,6.1-8
2170,2014,Alaska,AK,2,"Matanuska-Susitna Borough, AK",98285.0,22.1-24
