FIPS,Year,State,ST,FIPS State,County,Population,Est. Age-Adj death rate (in ranges)
2280,2015,Alaska,AK,2,"Wrangell-Petersburg Census Area, AK",3177.0,>30
4012,2013,Arizona,AZ,4,"La Paz County, AZ",20377.0,>30
4012,2014,Arizona,AZ,4,"La Paz County, AZ",20314.0,>30
4012,2015,Arizona,AZ,4,"La Paz County, AZ",20152.0,>30
4007,2015,Arizona,AZ,4,"Gila County, AZ",53159.0,>30
4019,2015,Arizona,AZ,4,"Pima County, AZ",1010025.0,>30
6089,2014,California,CA,6,"Shasta County, CA",179747.0,>30
6023,2013,California,CA,6,"Humboldt County, CA",134640.0,>30
6049,2015,California,CA,6,"Modoc County, CA",8965.0,>30
6023,2012,California,CA,6,"Humboldt County, CA",134703.0,>30
6033,2015,California,CA,6,"Lake County, CA",64591.0,>30
6033,2012,California,CA,6,"Lake County, CA",63974.0,>30
6023,2014,California,CA,6,"Humboldt County, CA",134831.0,>30
6089,2015,California,CA,6,"Shasta County, CA",179533.0,>30
6023,2015,California,CA,6,"Humboldt County, CA",135727.0,>30
6033,2013,California,CA,6,"Lake County, CA",63803.0,>30
6023,2011,California,CA,6,"Humboldt County, CA",135267.0,>30
6033,2014,California,CA,6,"Lake County, CA",64156.0,>30
8023,2012,Colorado,CO,8,"Costilla County, CO",3601.0,>30
8055,2015,Colorado,CO,8,"Huerfano County, CO",6492.0,>30
8071,2015,Colorado,CO,8,"Las Animas County, CO",14058.0,>30
8031,2014,Colorado,CO,8,"Denver County, CO",663963.0,>30
8057,2014,Colorado,CO,8,"Jackson County, CO",1395.0,>30
8023,2011,Colorado,CO,8,"Costilla County, CO",3645.0,>30
8057,2015,Colorado,CO,8,"Jackson County, CO",1356.0,>30
8055,2011,Colorado,CO,8,"Huerfano County, CO",6516.0,>30
8115,2015,Colorado,CO,8,"Sedgwick County, CO",2399.0,>30
8023,2014,Colorado,CO,8,"Costilla County, CO",3552.0,>30
8055,2014,Colorado,CO,8,"Huerfano County, CO",6433.0,>30
